iter	Passed	Remaining
354	79385	2604081
355	79615	2604048
356	79856	2604405
357	80072	2603921
358	80353	2605551
359	80578	2605387
360	80793	2604863
361	81033	2605144
362	81289	2605956
363	81560	2607232
364	81936	2611868
365	82298	2615998
366	82640	2619509
367	82957	2622186
368	83230	2623467
369	83494	2624425
370	83732	2624588
371	83967	2624648
372	84222	2625342
373	84529	2627658
374	84824	2629569
375	85179	2633327
376	85459	2634742
377	85768	2637054
378	86099	2639996
379	86372	2641166
380	86696	2643912
381	86973	2645175
382	87260	2646753
383	87536	2647973
384	87818	2649372
385	88149	2652246
386	88422	2653358
387	88677	2653913
388	88966	2655489
389	89312	2658771
390	89609	2660541
391	89892	2661907
392	90242	2665267
393	90568	2667850
394	90932	2671586
395	91267	2674404
396	91552	2675788
397	91827	2676850
398	92109	2678114
399	92453	2681148
400	92657	2680129
401	92870	2679388
402	93081	2678587
403	93260	2676862
404	93480	2676312
405	93741	2676954
406	93975	2676795
407	94194	2676221
408	94409	2675549
409	94638	2675272
410	94862	2674858
411	95056	2673588
412	95257	2672519
413	95440	2670955
414	95656	2670318
415	95823	2668328
416	96017	2667078
417	96186	2665148
418	96360	2663368
419	96536	2661660
420	96800	2662370
421	97029	2662115
422	97217	2660737
423	97434	2660137
424	97698	2660849
425	97905	2659999
426	98168	2660664
427	98348	2659082
428	98583	2658999
429	98787	2658073
430	99013	2657735
431	99187	2656032
432	99379	2654780
433	99566	2653427
434	99747	2651911
435	99933	2650516
436	100127	2649378
437	100310	2647917
438	100574	2648614
439	100969	2652736
440	101426	2658483
441	101826	2662694
442	102167	2665354
443	102468	2666944
444	102754	2668162
445	103062	2669907
446	103301	2669880
447	103613	2671759
448	103868	2672132
449	104125	2672566
450	104396	2673327
451	104654	2673775
452	104968	2675654
453	105214	2675794
454	105453	2675730
455	105694	2675740
456	105937	2675802
457	106229	2677088
458	106480	2677332
459	106749	2678018
460	106993	2678078
461	107332	2680513
462	107586	2680839
463	107869	2681853
464	108153	2682908
465	108423	2683601
466	108637	2682903
467	108842	2681980
468	109046	2681061
469	109284	2680967
470	109514	2680674
471	109688	2679000
472	109866	2677453
473	110057	2676204
474	110266	2675424
475	110511	2675485
476	110733	2675013
477	110923	2673769
478	111128	2672875
479	111318	2671655
480	111509	2670441
481	111709	2669432
482	111891	2668022
483	112090	2667001
484	112278	2665749
485	112475	2664702
486	112674	2663688
487	112904	2663425
488	113088	2662095
489	113376	2663202
490	113610	2663011
491	113795	2661711
492	113969	2660141
493	114144	2658605
494	114371	2658268
495	114563	2657133
496	114843	2658026
497	115027	2656728
498	115224	2655698
499	115407	2654361
500	115579	2652783
501	115759	2651408
502	115940	2650027
503	116111	2648443
504	116306	2647411
505	116498	2646315
506	116737	2646287
507	116963	2645945
508	117173	2645264
509	117412	2645235
510	117618	2644463
511	117824	2643677
512	118018	2642659
513	118190	2641131
514	118375	2639897
515	118562	2638707
516	118727	2637044
517	118914	2635859
518	119085	2634336
519	119271	2633142
520	119444	2631670
521	119639	2630695
522	119835	2629729
523	120032	2628794
524	120203	2627312
525	120396	2626283
526	120588	2625266
527	120827	2625246
528	121006	2623934
529	121165	2622213
530	121352	2621073
531	121522	2619590
532	121767	2619714
533	121949	2618495
534	122126	2617156
535	122416	2618242
536	122681	2618794
537	122860	2617521
538	123034	2616128
539	123203	2614654
540	123360	2612920
541	123543	2611738
542	123725	2610545
543	123967	2610599
544	124125	2608915
545	124284	2607241
546	124535	2607514
547	124712	2606214
548	124898	2605121
549	125072	2603781
550	125256	2602654
551	125432	2601365
552	125624	2600414
553	125809	2599299
554	125975	2597813
555	126141	2596343
556	126323	2595194
557	126508	2594110
558	126688	2592912
559	126863	2591644
560	127092	2591454
561	127258	2590002
562	127466	2589397
563	127756	2590470
564	128029	2591171
565	128203	2589896
566	128379	2588640
567	128555	2587403
568	128780	2587157
569	129001	2586815
570	129180	2585656
571	129354	2584373
572	129542	2583398
573	129719	2582193
574	129895	2580961
575	130065	2579633
576	130245	2578504
577	130416	2577186
578	130596	2576063
579	130764	2574716
580	130944	2573586
581	131154	2573057
582	131371	2572671
583	131575	2572028
584	131754	2570901
585	131979	2570673
586	132201	2570388
587	132415	2569949
588	132676	2570412
589	132911	2570366
590	133159	2570586
591	133362	2569939
592	133593	2569825
593	133831	2569841
594	134058	2569636
595	134236	2568505
596	134519	2569396
597	134838	2570957
598	135101	2571436
599	135268	2570095
600	135443	2568912
601	135619	2567750
602	135798	2566664
603	135963	2565305
604	136131	2563989
605	136293	2562579
606	136457	2561225
607	136620	2559831
608	136811	2558974
609	136989	2557878
610	137168	2556810
611	137335	2555509
612	137519	2554547
613	137703	2553574
614	137858	2552055
615	138013	2550562
616	138214	2549912
617	138390	2548803
618	138621	2548711
619	138833	2548269
620	139026	2547468
621	139199	2546329
622	139372	2545172
623	139594	2544917
624	139853	2545325
625	140084	2545237
626	140273	2544393
627	140604	2546111
628	140871	2546666
629	141206	2548440
630	141488	2549255
631	141741	2549545
632	142002	2549991
633	142260	2550369
634	142496	2550346
635	142737	2550429
636	142954	2550064
637	143202	2550264
638	143448	2550427
639	143681	2550341
640	143928	2550511
641	144154	2550324
642	144405	2550559
643	144642	2550557
644	144876	2550496
645	145179	2551659
646	145457	2552362
647	145701	2552475
648	145952	2552707
649	146225	2553327
650	146478	2553580
651	146791	2554890
652	147027	2554860
653	147280	2555117
654	147559	2555824
655	147785	2555607
656	148022	2555577
657	148384	2557718
658	148717	2559346
659	149048	2560921
660	149409	2563015
661	149687	2563687
662	149992	2564797
663	150317	2566264
664	150635	2567607
665	150874	2567578
666	151171	2568562
667	151470	2569551
668	151756	2570328
669	152018	2570697
670	152254	2570627
671	152457	2569990
672	152676	2569630
673	152889	2569174
674	153075	2568266
675	153286	2567772
676	153535	2567914
677	153806	2568439
678	154094	2569221
679	154329	2569128
680	154511	2568150
681	154700	2567301
682	154910	2566798
683	155114	2566199
684	155313	2565503
685	155515	2564873
686	155706	2564050
687	155910	2563460
688	156110	2562792
689	156292	2561839
690	156500	2561308
691	156726	2561081
692	156930	2560473
693	157140	2559988
694	157330	2559168
695	157515	2558274
696	157709	2557511
697	157914	2556953
698	158113	2556281
699	158335	2555984
700	158569	2555885
701	158795	2555653
